Kunci,Teks,Keterangan
home_subjudul,Data Science Enthusiast & Analyst,Subjudul di bawah nama (bagian Home)
home_deskripsi,"I'm a Data Science enthusiast skilled in R, Python, SAS, and SQL, eager to collaborate on ML and data projects.",Paragraf perkenalan (bagian Home)
about_deskripsi,"Angga Fathan Rofiqy is a data science student specializing in machine learning and statistical analysis. With a foundation in Statistics from Bogor Agricultural University, he ranked in the top 10% of Bangkit Academy 2024's Machine Learning Path. Angga combines technical skills with systematic thinking to deliver efficient, data-driven solutions.",Paragraf About Me
about_pengalaman,3+ Years in Statistics,Isi kotak Experience (About)
about_proyek,20+ Projects,Isi kotak Completed (About)
about_support,Online 9 to 5,Isi kotak Support (About)
