Tampilkan,Nama,Ikon,Link,Lokasi,Urutan
TRUE,LinkedIn,uil-linkedin,https://www.linkedin.com/in/angga-fathan-rofiqy/,keduanya,1
TRUE,GitHub,uil-github-alt,https://github.com/Zen-Rofiqy,keduanya,2
TRUE,Tableau,tableau.svg,https://public.tableau.com/app/profile/zen.rofiqy/vizzes,keduanya,3
TRUE,Instagram,uil-instagram,https://www.instagram.com/function_runing/,footer,4
TRUE,X,x.svg,https://x.com/f_rofiqy,footer,5
TRUE,Kaggle,kaggle.svg,https://www.kaggle.com/zenrofiqy,footer,6
TRUE,RPubs,rpubs.svg,https://rpubs.com/ZenR_Prog,footer,7
