Folder,Org,Logo,LinkOrg,Subtitle,Meta,Deskripsi,Skills
data-analyst-asdp,PT ASDP Indonesia Ferry (Persero),asdp-indonesia-ferry.jpg,https://www.linkedin.com/company/asdpindonesiaferry/,Internship · On-site,"Sep 2024 - Dec 2024 · 4 mos
Jakarta, Indonesia","Data Analyst in the Business Support division.
Managed data requests (transaction, production, performance) using SQL, Python, and Excel for analysis.
Developed Market Share and Portwise Dashboards in Tableau to visualize company performance.
Monitored operational dashboards and supported tariff simulation data entry.
Awarded Best Presentation among 18 interns.","SQL
Python
Microsoft Excel
Tableau
Statistical Analysis
Data Visualization
Dashboard Development"
surveyor-ipm-bandung,IPB University,ipb-university.jpg,https://www.linkedin.com/school/ipbuniversityindonesia/,Part-time · On-site,"Aug 2024 · 1 mo
Bandung, West Java, Indonesia","Conducted socio-economic surveys with 25 respondents per enumerator across diverse economic groups.
Surveyed multiple villages/subdistricts over 5 days with a team of 31 IPB Statistics students.
Supported data collection for human development analysis.","Effective Communication and Public Relations
Data Collection"
works-kknt-ipb,KKN-T IPB 2024 | Desa Sukawening,kkn-t-ipb.jpg,,Part-time · Hybrid,"Jun 2024 - Aug 2024 · 3 mos
Bogor Regency, West Java, Indonesia","Developed and managed 42 Instagram posts.
Served as prayer reader and MC in workshops and events.
Taught and mentored 5th-grade students in a waste management program.
Designed and analyzed a survey, compiled findings into a village profile book.
Added 33 street names on Google Maps and created street signs.
Assisted SMEs with QRIS installation and online presence.","Graphic Design
Instagram Feed design"
marketing-specialist-statify,Statify,statify.jpg,https://www.linkedin.com/company/statifyipb/,Full-time · On-site,"Feb 2025 - Present · 1 yr 6 mos
Indonesia","Designed cross-platform branding assets (Instagram, LinkedIn, presentations) using Figma, Illustrator, and Photoshop.
Independently built monthly Tableau performance dashboard post, from raw data preparation to final design and publication.
Provided statistical consulting for client projects on path analysis (SPSS) and panel data (EViews).","Project Management
Graphic Design
Statistical Consulting"
